name,lat,lng,hex_id
七虎公園,25.136499,121.502059,894ba0b4967ffff
七星公園,25.136619,121.503021,894ba0b4967ffff
八仙公園,25.120286,121.502916,894ba56964bffff
大豐公園,25.13194,121.50373,894ba5696d7ffff
中央簡易公園,25.128099,121.499923,894ba5696dbffff
中庸1號公園,25.13804,121.501243,894ba0b4967ffff
丹鳳公園,25.12648,121.510978,894ba56960fffff
公館公園,25.12799,121.506431,894ba56961bffff
天狗庵遺址,25.135929,121.506668,894ba569683ffff
文化1號公園,25.136535,121.496462,894ba0b497bffff
文化2號公園,25.13643,121.496841,894ba0b497bffff
文化3號公園,25.137699,121.494712,894ba0b4947ffff
北投258號綠地(承,25.1019,121.51245,894ba0a619bffff
北投2號公園,25.13705,121.508221,894ba569683ffff
北投公園,25.13656,121.50473,894ba569693ffff
北投社三層崎公園,25.14574,121.491156,894ba0b498bffff
石牌公園,25.116359,121.51036,894ba0a65a7ffff
立農公園,25.118789,121.503509,894ba56964bffff
吉利公園,25.11901,121.508369,894ba0a65b7ffff
同德公園,25.12507,121.529449,894ba56904fffff
地熱谷公園,25.137559,121.510978,894ba569687ffff
行義公園,25.125389,121.52523,894ba56904bffff
奇岩1號公園,25.128339,121.503698,894ba5696cfffff
奇岩二號公園,25.126499,121.503692,894ba5696cfffff
奇岩三號公園,25.12598,121.505218,894ba569657ffff
東華公園,25.121839,121.507072,894ba56964fffff
林泉公園,25.14133,121.51482,894ba56944fffff
知行公園,25.119729,121.466651,894ba0b4a17ffff
長安公園,25.135559,121.50016,894ba0b4963ffff
前山公園,25.150576,121.548443,894ba56952bffff
建民公園,25.104744,121.519809,894ba56924bffff
泉源47號公園,25.142099,121.512458,894ba569443ffff
泉源48號公園,25.141939,121.507156,894ba0b4927ffff
洲美(公4)公園,25.100089,121.506347,894ba0a656bffff
洲美蜆仔港公園,25.100997,121.511186,894ba0a619bffff
致遠公園,25.11127,121.515052,894ba5692cbffff
重三公園,25.140159,121.489288,894ba0b49cfffff
振華公園,25.115169,121.518852,894ba5692c7ffff
振興公園,25.118219,121.52304,894ba569213ffff
桂花公園,25.13791,121.510223,894ba569687ffff
桃源公園,25.138069,121.482757,894ba0b4837ffff
健行公園,25.12121,121.508827,894ba56967bffff
崇仰公園,25.12609,121.51106,894ba56960fffff
清江1公園,25.12391,121.502479,894ba569653ffff
清江二公園,25.12368,121.501892,894ba569653ffff
軟橋公園,25.103102,121.517613,894ba0a6187ffff
復興公園,25.13969,121.503227,894ba0b492bffff
