name,lat,lng,hex_id
安郁藥局,121.551182,25.046085,894ba0a412fffff
榮星藥局,121.555235,25.052136,894ba0a4ccfffff
安世藥局,121.555561,25.05214,894ba0a4ccfffff
明一藥局,121.558167,25.052703,894ba0a4c1bffff
傑安藥局,121.547337,25.049139,894ba0a4133ffff
仁弘藥局,121.546586,25.059484,894ba0a6a7bffff
益華藥局,121.561545,25.058275,894ba0a4c8fffff
德靈藥局,121.566672,25.061775,894ba0a4cb3ffff
健全藥局,121.544911,25.063268,894ba0a6a57ffff
李得安藥局,121.559856,25.057333,894ba0a4c8bffff
瑞昌大藥局,121.544918,25.062984,894ba0a6a57ffff
合生藥局,121.560748,25.053637,894ba0a4c13ffff
上允藥局,121.559049,25.058364,894ba0a4c83ffff
建東大藥局,121.563398,25.057234,894ba0a4c17ffff
和諧藥局,121.562151,25.058494,894ba0a4c8fffff
德恩藥師藥局,121.546142,25.047971,894ba0a4133ffff
延壽藥局,121.560363,25.056785,894ba0a4c8fffff
萬泰藥局,121.547103,25.059943,894ba0a6a7bffff
博荃藥局,121.544742,25.050063,894ba0a41abffff
德川中西藥局,121.56066,25.048359,894ba0a4c47ffff
家音藥局,121.558488,25.058709,894ba0a4c83ffff
中美藥局,121.565481,25.061285,894ba0a4cb3ffff
康麗藥局,121.546812,25.053739,894ba0a41a3ffff
惠登藥局,121.546113,25.056197,894ba0a41b7ffff
松田藥局,121.55355,25.047007,894ba0a4127ffff
予志藥局,121.564944,25.061185,894ba0a4cb3ffff
婕登藥局,121.576644,25.050207,894ba0a4d5bffff
晨安藥局,121.555325,25.049137,894ba0a4c53ffff
銘德藥局,121.545925,25.047242,894ba0a413bffff
政昇藥局,121.569691,25.051062,894ba0a4c2bffff
立康大藥局,121.558111,25.048117,894ba0a4c57ffff
躍獅松和藥局,121.576092,25.04979,894ba0a4897ffff
京東藥局,121.566945,25.05114,894ba0a4c3bffff
晨新藥局,121.560761,25.048943,894ba0a4c0bffff
躍獅京華藥局,121.559562,25.051715,894ba0a4c1bffff
綠之家藥局,121.556217,25.056197,894ba0a4cd7ffff
德安藥局,121.55619,25.048162,894ba0a4c53ffff
康采藥局,121.566253,25.052363,894ba0a4c07ffff
誠康中西藥局,121.560723,25.053457,894ba0a4c13ffff
慶昌藥局,121.553706,25.045949,894ba0a4c5bffff
唯康藥局,121.556636,25.048196,894ba0a4c53ffff
台北長庚維康藥局,121.550034,25.055634,894ba0a6a6bffff
專品南京藥局,121.553167,25.051846,894ba0a4ccbffff
