class,lat,lng,hex_id
回收機構,25.030311,121.504875,894ba0a4293ffff
回收機構,25.030328,121.504956,894ba0a4293ffff
回收機構,25.028324,121.490848,894ba0a4643ffff
回收機構,25.076104,121.517185,894ba0a6333ffff
回收機構,25.076703,121.516944,894ba0a6333ffff
回收機構,25.06799,121.515823,894ba0a6367ffff
回收機構,25.060922,121.514998,894ba0a45c3ffff
回收機構,25.05964,121.520038,894ba0a45cfffff
回收機構,25.076049,121.512078,894ba0a6307ffff
回收機構,25.071604,121.549195,894ba0a6abbffff
回收機構,25.04717,121.531328,894ba0a41c3ffff
回收機構,25.071114,121.533874,894ba0a6e6bffff
回收機構,25.068307,121.540063,894ba0a6ac3ffff
回收機構,25.07241,121.549404,894ba0a6abbffff
回收機構,25.066889,121.531696,894ba0a45a3ffff
回收機構,25.071728,121.548309,894ba0a6a8fffff
回收機構,25.046023,121.537097,894ba0a411bffff
回收機構,25.056716,121.528471,894ba0a4577ffff
回收機構,25.066423,121.565483,894ba0a6b43ffff
回收機構,25.056816,121.569654,894ba0a4cafffff
回收機構,25.072576,121.555848,894ba0a6aafffff
回收機構,25.067758,121.566543,894ba0a6b57ffff
回收機構,25.031414,121.556929,894ba0a4e0fffff
回收機構,25.013318,121.562184,894ba0a4a53ffff
回收機構,25.044363,121.540375,894ba0a410bffff
回收機構,25.031604,121.555595,894ba0a4e03ffff
回收機構,25.018651,121.551038,894ba0a5dbbffff
回收機構,25.011752,121.561667,894ba0a4a5bffff
回收機構,25.017869,121.551568,894ba0a5dabffff
回收機構,25.015405,121.561938,894ba0a4a53ffff
回收機構,25.013663,121.56435,894ba0a4a43ffff
回收機構,25.037569,121.576607,894ba0a4803ffff
回收機構,25.022952,121.570943,894ba0a4a17ffff
回收機構,25.104315,121.486322,894ba0a6433ffff
回收機構,25.078582,121.522913,894ba0a6ecbffff
回收機構,25.088265,121.51175,894ba0a6143ffff
回收機構,25.097059,121.494525,894ba0a6087ffff
回收機構,25.101351,121.495884,894ba0a655bffff
回收機構,25.103103,121.48448,894ba0a6407ffff
回收機構,25.103103,121.48448,894ba0a6407ffff
回收機構,25.103103,121.48448,894ba0a6407ffff
回收機構,25.103103,121.48448,894ba0a6407ffff
回收機構,25.103103,121.48448,894ba0a6407ffff
回收機構,25.08799,121.519823,894ba0a6163ffff
回收機構,25.097332,121.494218,894ba0a6087ffff
回收機構,25.089493,121.507992,894ba0a6027ffff
