school_level,school_name,lat,lng,hex_id
國小,國立北教大實小,121.540887,25.025005,894ba0a432bffff
國小,國立政大實小,121.579919,24.984666,894ba1da607ffff
國小,松山國小,121.579269,25.051205,894ba0a4d43ffff
國小,西松國小,121.563614,25.052198,894ba0a4c03ffff
國小,敦化國小,121.548541,25.049102,894ba0a4137ffff
國小,民生國小,121.552044,25.056508,894ba0a4cd3ffff
國小,民權國小,121.562298,25.062508,894ba0a6b4bffff
國小,民族國小,121.55191,25.058875,894ba0a6a6fffff
國小,三民國小,121.564279,25.063275,894ba0a6b4bffff
國小,健康國小,121.562923,25.056622,894ba0a4c17ffff
國小,興雅國小,121.570074,25.046766,894ba0a4c67ffff
國小,光復國小,121.55782,25.040243,894ba0a4eb3ffff
國小,三興國小,121.558027,25.02972,894ba0a4e77ffff
國小,信義國小,121.563225,25.031832,894ba0a4e23ffff
國小,吳興國小,121.56859,25.026015,894ba0a4a87ffff
國小,福德國小,121.58653,25.0389,894ba0a4823ffff
國小,雙永國小,121.579753,25.043347,894ba0a48bbffff
國小,博愛國小,,,
國小,龍安國小,121.534846,25.023952,894ba0a430fffff
國小,大安國小,121.549646,25.019507,894ba0a5dbbffff
國小,幸安國小,121.534949,25.037661,894ba0a414bffff
國小,建安國小,121.54615,25.029387,894ba0a4ecbffff
國小,仁愛國小,121.552386,25.035792,894ba0a4e13ffff
國小,金華國小,121.527762,25.03225,894ba0a438bffff
國小,古亭國小,121.528486,25.020671,894ba0a4343ffff
國小,銘傳國小,,,
國小,公館國小,121.542865,25.012418,894ba0a5d1bffff
國小,新生國小,121.533612,25.029758,894ba0a4317ffff
國小,和平實小,121.546668,25.020724,894ba0a5d87ffff
國小,中山國小,121.526315,25.062913,894ba0a4517ffff
國小,中正國小,121.540263,25.050622,894ba0a4117ffff
國小,長安國小,121.530182,25.049759,894ba0a41d3ffff
國小,長春國小,121.533883,25.054948,894ba0a4193ffff
國小,大直國小,121.546432,25.080494,894ba0a685bffff
國小,大佳國小,121.535954,25.073302,894ba0a6e63ffff
國小,五常國小,121.542213,25.064195,894ba0a6acfffff
國小,吉林國小,121.52963,25.054717,894ba0a4563ffff
國小,懷生國小,121.541745,25.045276,894ba0a410fffff
國小,永安國小,121.549392,25.078735,894ba0a684bffff
國小,濱江國小,121.561684,25.077313,894ba0a686fffff
國小,螢橋國小,121.514446,25.024927,894ba0a42abffff
國小,河堤國小,121.522645,25.023261,894ba0a43cbffff
國小,忠義實小,121.506266,25.029588,894ba0a4283ffff
國小,國語實小,121.511022,25.03092,894ba0a404bffff
國小,南門國小,121.509094,25.035229,894ba0a405bffff
國小,東門國小,121.520741,25.03862,894ba0a400fffff
國小,忠孝國小,121.531575,25.042891,894ba0a4153ffff
國小,市大附小,121.516949,25.044788,894ba0a408fffff
國小,蓬萊國小,121.515568,25.056533,894ba0a4427ffff
國小,日新國小,121.516476,25.054386,894ba0a455bffff
國小,太平國小,121.511365,25.062059,894ba0a44a7ffff
國小,永樂國小,121.511134,25.061693,894ba0a44a7ffff
國小,雙蓮國小,121.516672,25.060117,894ba0a45c3ffff
國小,大同國小,121.516103,25.064791,894ba0a45d7ffff
國小,大龍國小,121.516721,25.073405,894ba0a633bffff
國小,延平國小,121.512362,25.06603,894ba0a636bffff
國小,大橋國小,121.513379,25.064287,894ba0a45d3ffff
國小,新和國小,121.503335,25.026005,894ba0a429bffff
國小,雙園國小,121.497747,25.031255,894ba0a4677ffff
國小,東園國小,121.497863,25.023142,894ba0a42d3ffff
國小,大理國小,121.493826,25.031181,894ba0a460bffff
國小,西園國小,121.498864,25.02662,894ba0a466fffff
國小,萬大國小,121.499345,25.022978,894ba0a42d3ffff
國小,華江國小,121.491197,25.034077,894ba0a461bffff
國小,西門國小,121.50354,25.04324,894ba0a46a7ffff
國小,老松國小,121.502762,25.038063,894ba0a4633ffff
國小,龍山國小,121.496205,25.035591,894ba0a4603ffff
國小,福星國小,121.508906,25.046344,894ba0a446fffff
國小,景美國小,121.54079,24.989491,894ba0a5873ffff
國小,武功國小,121.54049,25.003889,894ba0a5d4bffff
國小,興德國小,121.550867,25.001674,894ba0a59d3ffff
國小,溪口國小,121.538745,24.994114,894ba0a5803ffff
國小,興隆國小,121.551916,25.002416,894ba0a59d3ffff
國小,志清國小,121.538844,24.998691,894ba0a588fffff
國小,景興國小,121.548205,24.996085,894ba0a5837ffff
國小,木柵國小,121.570233,24.990293,894ba1da69bffff
國小,永建國小,121.55588,24.989186,894ba0a594bffff
國小,實踐國小,121.557564,24.983666,894ba0a5bbbffff
國小,博嘉實小,121.57581,25.002082,894ba1da4cbffff
國小,指南實小,121.583662,24.976406,894ba1da66fffff
國小,明道國小,121.562483,24.989055,894ba0a5bb7ffff
國小,萬芳國小,121.567892,25.001546,894ba0a5933ffff
國小,力行國小,121.561,24.980922,894ba0a5b33ffff
國小,萬興國小,121.576625,24.990432,894ba1da68fffff
國小,興華國小,121.558674,24.998846,894ba0a591bffff
國小,辛亥國小,121.558549,25.006285,894ba0a5983ffff
國小,萬福國小,,,
國小,南港國小,121.610426,25.057483,894ba1d3263ffff
國小,舊莊國小,121.619575,25.040268,894ba1d16b3ffff
國小,玉成國小,121.594757,25.053615,894ba0a4993ffff
